Input,Prediction,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACA-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIV,TRIUMEQ,
ABACAV-DOLUTEG-LAMIV,TRIUMEQ,
ABAC-DOLUT-LAMIV,TRIUMEQ,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR,COMPLERA,
EMTRICITAB-RILPIVIR-TENOF,COMPLERA,
EMTRICIT-RILPIVI-TENOFO,COMPLERA,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACA-DOLUTEGR-LAM,TRIUMEQ,
BICTEGRAVIR-EMTRICITABINE-TENOFOVIR ALAFENAMIDE,BIKTARVY,
BICTEGRAVIR-EMTRICITABINE-TENOFOVIR ALAFE,BIKTARVY,
BICTEGR-EMTRICITA-TENOFO ALAFENAM,BIKTARVY,
BICTEGRAVIR-EMTRICITABINE-TENOFOVIR ALAFENAMIDE,BIKTARVY,
BICTEGRAVIR-EMTRICE-TEN ALAFEN,BIKTARVY,
BICTER-EMTRICINE-TE ALAF,BIKTARVY,
BICTEGRAVIR-EMTRICITABINE-TF AF,BIKTARVY,
BICTEGRAVIR-EMTRICIT-TF AF,BIKTARVY,
BICTEG-EMTRICIT-TF AF,BIKTARVY,
EMTRICI-TENOF ALAFE,EMTRIVA,
EMTRICITABINE-TF AF,ATRIPLA,
EMTRICIT-TF AF,ATRIPLA,
EMTRI-TF AF,ATRIPLA,
EMTRICI-TENOF ALAFE,EMTRIVA,
EMTRICI-TENOF AF,EMTRIVA,
EMTRI-TF AF,ATRIPLA,
EMTRICITABINE-RILPIVIRINE-TENOFO DF,COMPLERA,
EMTRICITABINE-RILPIVIR-TENOFOVIR DF,COMPLERA,
EMTRICITA-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICIT-RILPIV-TENOF DF,ODEFSEY,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFO DF,COMPLERA,
EMTRICITABINE-RILPIVIR-TENOFOVIR DF,COMPLERA,
EMTRICITA-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICIT-RILPIV-TENOF DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFO DF,COMPLERA,
EMTRICITABINE-RILPIVIR-TENOFOVIR DF,COMPLERA,
EMTRICITA-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICIT-RILPIV-TENOF DF,COMPLERA,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACA-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIV,TRIUMEQ,
ABACAV-DOLUTEG-LAMIV,TRIUMEQ,
ABAC-DOLUT-LAMIV,TRIUMEQ,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR,COMPLERA,
EMTRICITAB-RILPIVIR-TENOF,COMPLERA,
EMTRICIT-RILPIVI-TENOFO,COMPLERA,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD 600-50-300 MG PO TABS,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAM,TRIUMEQ,
ABACA-DOLUTEGR-LAM,TRIUMEQ,
BICTEGRAVIR-EMTRICITABINE-TENOFOVIR ALAFENAMIDE,BIKTARVY,
BICTEGRAVIR-EMTRICITABINE-TENOFOVIR ALAFE,BIKTARVY,
BICTEGR-EMTRICITA-TENOFO ALAFENAM,BIKTARVY,
BICTEGRAVIR-EMTRICITABINE-TENOFOVIR ALAFENAMIDE,BIKTARVY,
BICTEGRAVIR-EMTRICE-TEN ALAFEN,BIKTARVY,
BICTER-EMTRICINE-TE ALAF,BIKTARVY,
BICTEGRAVIR-EMTRICITABINE-TF AF,BIKTARVY,
BICTEGRAVIR-EMTRICIT-TF AF,BIKTARVY,
BICTEG-EMTRICIT-TF AF,BIKTARVY,
EMTRICI-TENOF ALAFE,EMTRIVA,
EMTRICITABINE-TF AF,ATRIPLA,
EMTRICIT-TF AF,ATRIPLA,
EMTRI-TF AF,ATRIPLA,
EMTRICI-TENOF ALAFE,EMTRIVA,
EMTRICI-TENOF AF,EMTRIVA,
EMTRI-TF AF,ATRIPLA,
EMTRICITABINE-RILPIVIRINE-TENOFO DF,COMPLERA,
EMTRICITABINE-RILPIVIR-TENOFOVIR DF,COMPLERA,
EMTRICITA-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICIT-RILPIV-TENOF DF,ODEFSEY,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFO DF,COMPLERA,
EMTRICITABINE-RILPIVIR-TENOFOVIR DF,COMPLERA,
EMTRICITA-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICIT-RILPIV-TENOF DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICITABINE-RILPIVIRINE-TENOFO DF,COMPLERA,
EMTRICITABINE-RILPIVIR-TENOFOVIR DF,COMPLERA,
EMTRICITA-RILPIVIRINE-TENOFOVIR DF,COMPLERA,
EMTRICIT-RILPIV-TENOF DF,COMPLERA,
ABACAVIR-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACA-DOLUTEGRAVIR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGR-LAMIVUD,TRIUMEQ,
ABACAVIR-DOLUTEGRAVIR-LAMIV,TRIUMEQ,
ABACAV-DOLUTEG-LAMIV,TRIUMEQ,
Patrick,NOT_FOUND,
Leah,NOT_FOUND,
Mingteng Pan,NOT_FOUND,
Jacson,NOT_FOUND,
Emory,NOT_FOUND,
Lizzy,NOT_FOUND,
Apple,NOT_FOUND,
Banana,NOT_FOUND,
Tim,NOT_FOUND,
Macbook,NOT_FOUND,
Georgia,NOT_FOUND,
Patrick,NOT_FOUND,
Leah,NOT_FOUND,
Mingteng Pan,NOT_FOUND,
Jacson,NOT_FOUND,
Emory,NOT_FOUND,
Lizzy,NOT_FOUND,
Apple,NOT_FOUND,
Banana,NOT_FOUND,
Tim,NOT_FOUND,
Macbook,NOT_FOUND,
Georgia,NOT_FOUND,
Patrick,NOT_FOUND,
Leah,NOT_FOUND,
Mingteng Pan,NOT_FOUND,
Jacson,NOT_FOUND,
Emory,NOT_FOUND,
Lizzy,NOT_FOUND,
Apple,NOT_FOUND,
Banana,NOT_FOUND,
Tim,NOT_FOUND,
Macbook,NOT_FOUND,
Georgia,NOT_FOUND,
Patrick,NOT_FOUND,
Leah,NOT_FOUND,
Mingteng Pan,NOT_FOUND,
Jacson,AMPRENAVIR,
Emory,NOT_FOUND,
Lizzy,NOT_FOUND,
Apple,NOT_FOUND,
Banana,NOT_FOUND,
Tim,NOT_FOUND,
Macbook,NOT_FOUND,
Georgia,NOT_FOUND,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR ALAFENAMIDE,ODEFSEY,
ELVITEGRAVIR-COBICISTAT-EMTRICITABINE-TENOFOVIR AF,GENVOYA,
ELVITEGRAVIR-COBICISTAT-EMTRICITABINE-TENOFO AF,GENVOYA,
ELVITEGRAVIR-COBICISTAT-EMTRICITA-TENOFOVIR AF,GENVOYA,
ELVITEGRAVIR-COBICI-EMTRICITABINE-TENOFOVIR AF,GENVOYA,
ELVITEG-COBICISTAT-EMTRICITABINE-TENOFOVIR AF,GENVOYA,
ELVITEGRAVIR-COBICISTAT-EMTRICITAB-TENOFO AF,GENVOYA,
ELVITEGRAVI-COBICIS-EMTRICITAB-TENOFO AF,GENVOYA,
EMTRICITABINE-RILPIVIRINE-TENOFOVIR ALAFENAM,ODEFSEY,
EMTRICITABINE-RILPIVIRINE-TENOFO ALAFENAMIDE,ODEFSEY,
EMTRICITAB-RILPIVIRINE-TENOFOVIR ALAFENAMIDE,ODEFSEY,
EMTRICITABI-RILPIVIRI-TENOFOVI ALAFENAMIDE,ODEFSEY,
EMTRICIT-RILPIVI-TENOFO ALAFENAMI,ODEFSEY,
